country,price,points,variety
Argentina,24.510117145899894,86.71026315789474,Malbec
Armenia,14.5,87.5,['Kangoun' 'Rosé']
Australia,35.43766346992153,88.58050665521684,Shiraz
Austria,30.76277241872097,90.10134529147982,Grüner Veltliner
Bosnia and Herzegovina,12.5,86.5,['Blatina' 'Vranec']
Brazil,23.76595744680851,84.67307692307692,Sparkling Blend
Bulgaria,14.645390070921986,87.93617021276596,Red Blend
Canada,35.71259842519685,89.36964980544747,Riesling
Chile,20.786458333333332,86.4935152057245,Cabernet Sauvignon
China,18.0,89.0,Cabernet Blend
Croatia,25.450704225352112,87.21917808219177,Plavac Mali
Cyprus,16.272727272727273,87.18181818181819,White Blend
Czech Republic,24.25,87.25,['Cabernet Moravia' 'Red Blend' 'Sauvignon Blanc']
Egypt,,84.0,Grenache
England,51.68115942028985,91.58108108108108,Sparkling Blend
France,41.139120162016205,88.84510931064138,Bordeaux-style Red Blend
Georgia,19.321428571428573,87.68604651162791,Saperavi
Germany,42.25754716981132,89.85173210161663,Riesling
Greece,22.364425162689805,87.28326180257511,White Blend
Hungary,40.648275862068964,89.1917808219178,Furmint
India,13.333333333333334,90.22222222222223,Shiraz
Israel,31.768916155419223,88.47128712871287,Cabernet Sauvignon
Italy,39.663769658271256,88.56223132036847,Red Blend
Lebanon,30.685714285714287,87.68571428571428,Red Blend
Luxembourg,23.333333333333332,88.66666666666667,['Riesling' 'Sparkling Blend']
Macedonia,15.583333333333334,86.83333333333333,['Pinot Noir' 'Vranec']
Mexico,26.785714285714285,85.25714285714285,Red Blend
Moldova,16.74576271186441,87.20338983050847,Red Blend
Morocco,19.5,88.57142857142857,Red Blend
New Zealand,26.93178519593614,88.3030303030303,Sauvignon Blanc
Peru,18.0625,83.5625,Red Blend
Portugal,26.21825641025641,88.25021964505359,Portuguese Red
Romania,15.241666666666667,86.4,Cabernet Sauvignon
Serbia,24.5,87.5,['Red Blend' 'Riesling']
Slovakia,16.0,87.0,Riesling
Slovenia,24.8125,88.06896551724138,White Blend
South Africa,24.668986852281517,88.05638829407566,Chenin Blanc
Spain,28.215274608245853,87.28833709556058,Tempranillo
Switzerland,85.28571428571429,88.57142857142857,Pinot Noir
Turkey,24.633333333333333,88.08888888888889,Red Blend
US,36.5734635584631,88.56372009393806,Pinot Noir
Ukraine,9.214285714285714,84.07142857142857,Sparkling Blend
Uruguay,26.40366972477064,86.75229357798165,Tannat
